Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Sennelier,376,8.45R 2.69/8.85,8.45R,8.45,R,8.45,2.69,8.85
Rembrandt,"536,7",7.45P 5.18/8.85,7.45P,7.45,P,87.45,5.18,8.85
Blue Earth,B2B,5.08PB 4.20/8.87,5.08PB,5.08,PB,75.08,4.20,8.87
Great American,750.2,3.57P 5.75/8.87,3.57P,3.57,P,83.57,5.75,8.87
Sennelier,147,3.40Y 6.25/8.87,3.40Y,3.40,Y,23.40,6.25,8.87
Sennelier,714,9.84B 6.79/8.87,9.84B,9.84,B,69.84,6.79,8.87
Schmincke,014D,0.37Y 7.05/8.87,0.37Y,0.37,Y,20.37,7.05,8.87
Girault,281,8.19PB 2.81/8.88,8.19PB,8.19,PB,78.19,2.81,8.88
Schmincke,062M,6.06PB 6.30/8.89,6.06PB,6.06,PB,76.06,6.30,8.89
Girault,147,0.49Y 6.51/8.89,0.49Y,0.49,Y,20.49,6.51,8.89
Girault,229,0.27G 6.13/8.90,0.27G,0.27,G,40.27,6.13,8.90
Mount Vision,842,6.11R 7.17/8.90,6.11R,6.11,R,6.11,7.17,8.90
Sennelier,722,5.92BG 6.79/8.91,5.92BG,5.92,BG,55.92,6.79,8.91
Girault,206,5.05GY 7.01/8.91,5.05GY,5.05,GY,35.05,7.01,8.91
Mount Vision,822,9.39GY 6.33/8.92,9.39GY,9.39,GY,39.39,6.33,8.92
Blue Earth,T4A,3.74BG 6.63/8.92,3.74BG,3.74,BG,53.74,6.63,8.92
Sennelier,802,9.82YR 8.10/8.92,9.82YR,9.82,YR,19.82,8.10,8.92
Mount Vision,92,2.56Y 7.96/8.93,2.56Y,2.56,Y,22.56,7.96,8.93
Mount Vision,623,3.66YR 5.12/8.94,3.66YR,3.66,YR,13.66,5.12,8.94
Blue Earth,P1A,2.02R 3.10/8.95,2.02R,2.02,R,2.02,3.10,8.95
Great American,600.1,6.52RP 4.73/8.95,6.52RP,6.52,RP,96.52,4.73,8.95
Sennelier,313,8.68P 5.71/8.95,8.68P,8.68,P,88.68,5.71,8.95
Great American,640.3,4.72R 6.22/8.95,4.72R,4.72,R,4.72,6.22,8.95
Sennelier,723,5.70BG 6.90/8.95,5.70BG,5.70,BG,55.70,6.90,8.95
Great American,485.1,1.06B 4.99/8.96,1.06B,1.06,B,61.06,4.99,8.96
Schmincke,043O,9.25RP 5.35/8.96,9.25RP,9.25,RP,99.25,5.35,8.96
Schmincke,600O,6.56PB 6.00/8.96,6.56PB,6.56,PB,76.56,6.00,8.96
Schmincke,047M,4.05RP 7.21/8.96,4.05RP,4.05,RP,94.05,7.21,8.96
Great American,555.0,3.25G 5.81/8.97,3.25G,3.25,G,43.25,5.81,8.97
Great American,580.1,4.12Y 8.25/8.99,4.12Y,4.12,Y,24.12,8.25,8.99
Unison,R1,7.76R 3.56/9.00,7.76R,7.76,R,7.76,3.56,9.00
Mount Vision,770,5.50B 4.76/9.00,5.50B,5.50,B,65.50,4.76,9.00
Schmincke,002H,1GY 9.4/9,1.00GY,1.00,GY,31.00,9.40,9.00
Schmincke,008M,10Y 9.4/9,10.00Y,10.00,Y,30.00,9.40,9.00
Sennelier,229,9.17GY 5.25/9.01,9.17GY,9.17,GY,39.17,5.25,9.01
Mount Vision,851,6.01P 3.59/9.02,6.01P,6.01,P,86.01,3.59,9.02
Great American,555.1,5.19G 6.20/9.02,5.19G,5.19,G,45.19,6.20,9.02
Schmincke,650D,4.74B 5.77/9.04,4.74B,4.74,B,64.74,5.77,9.04
Sennelier,250,0.89BG 4.67/9.05,0.89BG,0.89,BG,50.89,4.67,9.05
Blue Earth,C3A,8.73B 5.76/9.05,8.73B,8.73,B,68.73,5.76,9.05
Sennelier,357,5.10PB 6.33/9.05,5.10PB,5.10,PB,75.10,6.33,9.05
Sennelier,283,5.49P 4.54/9.07,5.49P,5.49,P,85.49,4.54,9.07
Girault,228,9.60GY 5.62/9.08,9.60GY,9.60,GY,39.60,5.62,9.08
Sennelier,148,4.65G 6.26/9.08,4.65G,4.65,G,44.65,6.26,9.08
Schmincke,005M,4.95YR 7.82/9.08,4.95YR,4.95,YR,14.95,7.82,9.08
Unison,R7,5.38R 3.22/9.09,5.38R,5.38,R,5.38,3.22,9.09
Mount Vision,20,0.87RP 4.48/9.09,0.87RP,0.87,RP,90.87,4.48,9.09
Schmincke,002B,0.48GY 7.53/9.10,0.48GY,0.48,GY,30.48,7.53,9.10
Mount Vision,562,1.43GY 7.69/9.10,1.43GY,1.43,GY,31.43,7.69,9.10
Mount Vision,91,4.37Y 8.24/9.10,4.37Y,4.37,Y,24.37,8.24,9.10
Blue Earth,O3B,9.21R 4.71/9.11,9.21R,9.21,R,9.21,4.71,9.11
Sennelier,329,3.79RP 7.68/9.11,3.79RP,3.79,RP,93.79,7.68,9.11
Rembrandt,"202,7",4.22Y 8.26/9.11,4.22Y,4.22,Y,24.22,8.26,9.11
Mount Vision,405,6.10R 3.55/9.12,6.10R,6.10,R,6.10,3.55,9.12
Great American,490.2,3.32B 5.48/9.12,3.32B,3.32,B,63.32,5.48,9.12
Great American,690.3,0.56RP 7.29/9.13,0.56RP,0.56,RP,90.56,7.29,9.13
Blue Earth,O6B,3.74YR 7.58/9.13,3.74YR,3.74,YR,13.74,7.58,9.13
Schmincke,066H,2.67PB 4.26/9.14,2.67PB,2.67,PB,72.67,4.26,9.14
Unison,Y1,8.22YR 5.25/9.15,8.22YR,8.22,YR,18.22,5.25,9.15
Schmincke,077M,9.14GY 7.63/9.15,9.14GY,9.14,GY,39.14,7.63,9.15
Sennelier,740,0.98B 5.58/9.16,0.98B,0.98,B,60.98,5.58,9.16
Great American,350.1,6.56Y 7.61/9.16,6.56Y,6.56,Y,26.56,7.61,9.16
Schmincke,004O,3.02Y 8.86/9.16,3.02Y,3.02,Y,23.02,8.86,9.16
Mount Vision,652,9.98PB 5.89/9.17,9.98PB,9.98,PB,79.98,5.89,9.17
Unison,A62,3.89PB 6.27/9.17,3.89PB,3.89,PB,73.89,6.27,9.17
Schmincke,059H,1.83P 4.03/9.18,1.83P,1.83,P,81.83,4.03,9.18
Girault,227,1.31G 4.32/9.19,1.31G,1.31,G,41.31,4.32,9.19
Unison,G27,7.96GY 6.27/9.19,7.96GY,7.96,GY,37.96,6.27,9.19
Sennelier,763,1.10G 7.76/9.19,1.10G,1.10,G,41.10,7.76,9.19
Mount Vision,122,9.58Y 8.34/9.19,9.58Y,9.58,Y,29.58,8.34,9.19
Schmincke,008B,9.01Y 6.66/9.22,9.01Y,9.01,Y,29.01,6.66,9.22
Unison,Port6,3.28R 4.99/9.23,3.28R,3.28,R,3.28,4.99,9.23
Sennelier,145,8.90YR 6.13/9.23,8.90YR,8.90,YR,18.90,6.13,9.23
Mount Vision,590,0.19R 4.56/9.26,0.19R,0.19,R,0.19,4.56,9.26
Sennelier,261,9.38B 5.78/9.27,9.38B,9.38,B,69.38,5.78,9.27
