Brand Name,Identifier,Munsell Specification,Total Hue,Hue Prefix,Hue Letter(s),ASTM Hue,Value,Chroma
Sennelier,904,7.51Y 9.34/2.74,7.51Y,7.51,Y,27.51,9.34,2.74
Sennelier,236,6.52GY 2.41/2.75,6.52GY,6.52,GY,36.52,2.41,2.75
Rembrandt,"522,2",4.78B 3.32/2.75,4.78B,4.78,B,64.78,3.32,2.75
Great American,315.0,0.93GY 5.41/2.75,0.93GY,0.93,GY,30.93,5.41,2.75
Unison,BG17,2.86BG 7.88/2.75,2.86BG,2.86,BG,52.86,7.88,2.75
Mount Vision,153,4.16YR 8.31/2.75,4.16YR,4.16,YR,14.16,8.31,2.75
Sennelier,408,2.22R 4.53/2.76,2.22R,2.22,R,2.22,4.53,2.76
Great American,185.3,4.42Y 6.15/2.76,4.42Y,4.42,Y,24.42,6.15,2.76
Unison,Grey33,7.20B 6.19/2.76,7.20B,7.20,B,67.20,6.19,2.76
Mount Vision,182,0.13YR 6.33/2.76,0.13YR,0.13,YR,10.13,6.33,2.76
Unison,Light9,2.71R 8.12/2.76,2.71R,2.71,R,2.71,8.12,2.76
Unison,G24,2.93G 8.13/2.76,2.93G,2.93,G,42.93,8.13,2.76
Great American,135.6,7.37YR 8.53/2.76,7.37YR,7.37,YR,17.37,8.53,2.76
Mount Vision,640,4.23PB 2.92/2.77,4.23PB,4.23,PB,74.23,2.92,2.77
Unison,A22,1.99YR 4.86/2.77,1.99YR,1.99,YR,11.99,4.86,2.77
Great American,150.5,7.99GY 7.79/2.77,7.99GY,7.99,GY,37.99,7.79,2.77
Sennelier,188,4.07G 8.00/2.77,4.07G,4.07,G,44.07,8.00,2.77
Unison,BG12,4.80B 8.49/2.77,4.80B,4.80,B,64.80,8.49,2.77
Rembrandt,"372,2",0.73YR 2.90/2.78,0.73YR,0.73,YR,10.73,2.90,2.78
Sennelier,501,1.00BG 3.22/2.78,1.00BG,1.00,BG,51.00,3.22,2.78
Blue Earth,R1C,7.40R 3.27/2.78,7.40R,7.40,R,7.40,3.27,2.78
Unison,BE35,2.08Y 3.75/2.78,2.08Y,2.08,Y,22.08,3.75,2.78
Great American,175.3,0.97Y 4.69/2.78,0.97Y,0.97,Y,20.97,4.69,2.78
Unison,Grey8,7.31PB 5.15/2.78,7.31PB,7.31,PB,77.31,5.15,2.78
Sennelier,819,9.80YR 5.22/2.78,9.80YR,9.80,YR,19.80,5.22,2.78
Unison,Dark8,1.98BG 2.81/2.79,1.98BG,1.98,BG,51.98,2.81,2.79
Schmincke,087,6.18GY 3.70/2.79,6.18GY,6.18,GY,36.18,3.70,2.79
Mount Vision,73,9.51BG 7.89/2.79,9.51BG,9.51,BG,59.51,7.89,2.79
Schmincke,057O,9.03PB 8.17/2.79,9.03PB,9.03,PB,79.03,8.17,2.79
Mount Vision,574,8.61P 8.68/2.79,8.61P,8.61,P,88.61,8.68,2.79
Great American,950.1,3.99P 2.65/2.80,3.99P,3.99,P,83.99,2.65,2.80
Great American,170.0,6.47Y 3.31/2.80,6.47Y,6.47,Y,26.47,3.31,2.80
Great American,165.2,6.51YR 4.36/2.80,6.51YR,6.51,YR,16.51,4.36,2.80
Blue Earth,L4C,7.87Y 5.63/2.80,7.87Y,7.87,Y,27.87,5.63,2.80
Great American,270.3,1.23P 6.74/2.80,1.23P,1.23,P,81.23,6.74,2.80
Rembrandt,"570,9",3.94B 7.86/2.80,3.94B,3.94,B,63.94,7.86,2.80
Unison,Light7,8.62R 8.77/2.80,8.62R,8.62,R,8.62,8.77,2.80
Schmincke,091H,3.76PB 5.75/2.81,3.76PB,3.76,PB,73.76,5.75,2.81
Unison,A28,3.74R 3.87/2.82,3.74R,3.74,R,3.74,3.87,2.82
Unison,J15,2.87B 3.92/2.82,2.87B,2.87,B,62.87,3.92,2.82
Unison,YGE6,5.99G 4.46/2.82,5.99G,5.99,G,45.99,4.46,2.82
Great American,170.3,4.21Y 5.54/2.82,4.21Y,4.21,Y,24.21,5.54,2.82
Girault,107,6.14YR 5.19/2.83,6.14YR,6.14,YR,16.14,5.19,2.83
Schmincke,082H,0.74G 6.14/2.83,0.74G,0.74,G,40.74,6.14,2.83
Mount Vision,543,9.62B 7.45/2.83,9.62B,9.62,B,69.62,7.45,2.83
Blue Earth,C6B,6.51B 7.96/2.83,6.51B,6.51,B,66.51,7.96,2.83
Sennelier,164,2.06Y 4.54/2.84,2.06Y,2.06,Y,22.06,4.54,2.84
Great American,235.3,6.91B 5.33/2.84,6.91B,6.91,B,66.91,5.33,2.84
Schmincke,036O,2.53YR 6.73/2.84,2.53YR,2.53,YR,12.53,6.73,2.84
Great American,115.5,4.37RP 7.34/2.84,4.37RP,4.37,RP,94.37,7.34,2.84
Great American,740.5,4.57P 8.11/2.84,4.57P,4.57,P,84.57,8.11,2.84
Sennelier,61,8.28YR 2.94/2.85,8.28YR,8.28,YR,18.28,2.94,2.85
Unison,Dark4,5.92YR 3.13/2.85,5.92YR,5.92,YR,15.92,3.13,2.85
Blue Earth,NR5,9.70R 6.71/2.85,9.70R,9.70,R,9.70,6.71,2.85
Unison,G6,6.88GY 8.19/2.85,6.88GY,6.88,GY,36.88,8.19,2.85
Sennelier,444,1.56RP 3.61/2.86,1.56RP,1.56,RP,91.56,3.61,2.86
Blue Earth,V4D,4.93RP 5.63/2.86,4.93RP,4.93,RP,94.93,5.63,2.86
Blue Earth,C4C,4.05B 5.83/2.86,4.05B,4.05,B,64.05,5.83,2.86
Unison,G5,9.19GY 7.47/2.86,9.19GY,9.19,GY,39.19,7.47,2.86
Unison,NE18,0.94Y 7.74/2.86,0.94Y,0.94,Y,20.94,7.74,2.86
Sennelier,192,5.56YR 2.64/2.87,5.56YR,5.56,YR,15.56,2.64,2.87
Blue Earth,P6D,8.59RP 7.24/2.87,8.59RP,8.59,RP,98.59,7.24,2.87
Girault,279,3.53GY 7.85/2.87,3.53GY,3.53,GY,33.53,7.85,2.87
Great American,175.4,0.91Y 4.65/2.88,0.91Y,0.91,Y,20.91,4.65,2.88
Mount Vision,40,2.36Y 8.46/2.88,2.36Y,2.36,Y,22.36,8.46,2.88
Great American,250.1,1.83PB 3.23/2.89,1.83PB,1.83,PB,71.83,3.23,2.89
Sennelier,438,4.04YR 4.92/2.89,4.04YR,4.04,YR,14.04,4.92,2.89
Unison,G4,8.16GY 6.72/2.89,8.16GY,8.16,GY,38.16,6.72,2.89
Sennelier,60,7.74YR 2.41/2.90,7.74YR,7.74,YR,17.74,2.41,2.90
Unison,A50,0.10PB 2.41/2.90,0.10PB,0.10,PB,70.10,2.41,2.90
Girault,105,6.38YR 3.63/2.90,6.38YR,6.38,YR,16.38,3.63,2.90
Unison,BGE4,1.23BG 5.77/2.90,1.23BG,1.23,BG,51.23,5.77,2.90
Blue Earth,T4C,8.64G 6.04/2.90,8.64G,8.64,G,48.64,6.04,2.90
Rembrandt,"397,10",0.76R 8.18/2.90,0.76R,0.76,R,0.76,8.18,2.90
Mount Vision,540,1.40PB 2.75/2.91,1.40PB,1.40,PB,71.40,2.75,2.91
Girault,409,3.17R 6.29/2.91,3.17R,3.17,R,3.17,6.29,2.91
Mount Vision,243,2.37RP 9.33/2.91,2.37RP,2.37,RP,92.37,9.33,2.91
Unison,Grey7,1.92P 4.13/2.92,1.92P,1.92,P,81.92,4.13,2.92
Unison,BE13,9.72YR 7.69/2.92,9.72YR,9.72,YR,19.72,7.69,2.92
Blue Earth,Y1B,7.08YR 2.95/2.93,7.08YR,7.08,YR,17.08,2.95,2.93
Sennelier,824,2.73Y 6.68/2.93,2.73Y,2.73,Y,22.73,6.68,2.93
Unison,Light8,2.97R 8.39/2.93,2.97R,2.97,R,2.97,8.39,2.93
Unison,BE5,8.18YR 3.60/2.94,8.18YR,8.18,YR,18.18,3.60,2.94
Great American,355.2,1.56G 6.70/2.94,1.56G,1.56,G,41.56,6.70,2.94
Rembrandt,"522,10",1.32B 8.10/2.94,1.32B,1.32,B,61.32,8.10,2.94
Unison,BE31,3.08Y 8.26/2.94,3.08Y,3.08,Y,23.08,8.26,2.94
Schmincke,030B,4.84Y 4.31/2.95,4.84Y,4.84,Y,24.84,4.31,2.95
Mount Vision,581,4.86YR 3.29/2.96,4.86YR,4.86,YR,14.86,3.29,2.96
Blue Earth,L3C,7.50Y 4.69/2.96,7.50Y,7.50,Y,27.50,4.69,2.96
Sennelier,825,2.23YR 5.91/2.96,2.23YR,2.23,YR,12.23,5.91,2.96
Schmincke,030M,4.28Y 7.24/2.96,4.28Y,4.28,Y,24.28,7.24,2.96
Blue Earth,R7C,8.62R 8.51/2.96,8.62R,8.62,R,8.62,8.51,2.96
Mount Vision,654,8.30PB 8.53/2.96,8.30PB,8.30,PB,78.30,8.53,2.96
Schmincke,019O,1.99YR 8.58/2.96,1.99YR,1.99,YR,11.99,8.58,2.96
Sennelier,947,5.69RP 8.69/2.96,5.69RP,5.69,RP,95.69,8.69,2.96
Blue Earth,C7A,8.00B 8.69/2.96,8.00B,8.00,B,68.00,8.69,2.96
Great American,100.6,0.83YR 8.75/2.96,0.83YR,0.83,YR,10.83,8.75,2.96
Blue Earth,Y2D,3.41YR 3.86/2.97,3.41YR,3.41,YR,13.41,3.86,2.97
Mount Vision,790,2.95G 4.27/2.97,2.95G,2.95,G,42.95,4.27,2.97
Great American,235.4,7.33B 6.17/2.97,7.33B,7.33,B,67.33,6.17,2.97
Schmincke,036M,2.41YR 6.46/2.97,2.41YR,2.41,YR,12.41,6.46,2.97
Schmincke,037M,2.39YR 6.46/2.97,2.39YR,2.39,YR,12.39,6.46,2.97
Great American,520.4,0.29BG 7.08/2.97,0.29BG,0.29,BG,50.29,7.08,2.97
Great American,915.7,0.77YR 8.81/2.97,0.77YR,0.77,YR,10.77,8.81,2.97
Schmincke,074B,5.95BG 3.29/2.98,5.95BG,5.95,BG,55.95,3.29,2.98
Rembrandt,"409,5",1.60YR 3.33/2.98,1.60YR,1.60,YR,11.60,3.33,2.98
Great American,270.2,5.75P 5.51/2.98,5.75P,5.75,P,85.75,5.51,2.98
Rembrandt,"202,9",3.81Y 8.71/2.98,3.81Y,3.81,Y,23.81,8.71,2.98
Girault,451,9.58Y 4.63/2.99,9.58Y,9.58,Y,29.58,4.63,2.99
Schmincke,083M,5.08GY 7.73/2.99,5.08GY,5.08,GY,35.08,7.73,2.99
Unison,Grey24,1.62Y 8.69/2.99,1.62Y,1.62,Y,21.62,8.69,2.99
Unison,NE7,7.23YR 2.79/3.00,7.23YR,7.23,YR,17.23,2.79,3.00
Mount Vision,750,3.83RP 2.97/3.00,3.83RP,3.83,RP,93.83,2.97,3.00
Sennelier,451,4.33Y 5.01/3.00,4.33Y,4.33,Y,24.33,5.01,3.00
Mount Vision,862,1.36YR 6.29/3.00,1.36YR,1.36,YR,11.36,6.29,3.00
Great American,150.3,3.21G 6.50/3.00,3.21G,3.21,G,43.21,6.50,3.00
Great American,540.5,6.74BG 8.00/3.00,6.74BG,6.74,BG,56.74,8.00,3.00
Schmincke,037D,6.56YR 3.50/3.01,6.56YR,6.56,YR,16.56,3.50,3.01
Unison,BGE8,3.72G 6.40/3.01,3.72G,3.72,G,43.72,6.40,3.01
Unison,A53,8.71B 7.12/3.01,8.71B,8.71,B,68.71,7.12,3.01
Great American,410.6,1.20PB 7.56/3.01,1.20PB,1.20,PB,71.20,7.56,3.01
Sennelier,264,5.18B 8.25/3.01,5.18B,5.18,B,65.18,8.25,3.01
Sennelier,407,1.46R 4.12/3.02,1.46R,1.46,R,1.46,4.12,3.02
Great American,235.2,6.87B 4.23/3.02,6.87B,6.87,B,66.87,4.23,3.02
Unison,BGE5,6.65BG 4.68/3.02,6.65BG,6.65,BG,56.65,4.68,3.02
Mount Vision,181,7.65R 4.89/3.02,7.65R,7.65,R,7.65,4.89,3.02
Sennelier,820,5.72YR 6.17/3.02,5.72YR,5.72,YR,15.72,6.17,3.02
Great American,365.3,4.45Y 6.73/3.02,4.45Y,4.45,Y,24.45,6.73,3.02
Mount Vision,193,8.00YR 8.27/3.02,8.00YR,8.00,YR,18.00,8.27,3.02
Great American,945.5,2.28B 8.80/3.02,2.28B,2.28,B,62.28,8.80,3.02
Rembrandt,"508,2",2.68PB 2.01/3.03,2.68PB,2.68,PB,72.68,2.01,3.03
Great American,170.2,4.63Y 4.52/3.03,4.63Y,4.63,Y,24.63,4.52,3.03
Great American,275.3,4.00RP 4.63/3.03,4.00RP,4.00,RP,94.00,4.63,3.03
Great American,140.4,3.33YR 7.39/3.03,3.33YR,3.33,YR,13.33,7.39,3.03
Blue Earth,E6D,5.29GY 7.42/3.03,5.29GY,5.29,GY,35.29,7.42,3.03
Mount Vision,24,2.00RP 9.15/3.03,2.00RP,2.00,RP,92.00,9.15,3.03
Great American,145.5,2.37Y 9.16/3.03,2.37Y,2.37,Y,22.37,9.16,3.03
Great American,870.3,8.66P 4.48/3.04,8.66P,8.66,P,88.66,4.48,3.04
Blue Earth,V5D,5.61RP 6.47/3.04,5.61RP,5.61,RP,95.61,6.47,3.04
Mount Vision,323,1.59R 7.60/3.04,1.59R,1.59,R,1.59,7.60,3.04
Schmincke,024B,6.62R 3.31/3.05,6.62R,6.62,R,6.62,3.31,3.05
Great American,125.6,8.16YR 7.73/3.05,8.16YR,8.16,YR,18.16,7.73,3.05
Unison,A36,0.58RP 3.40/3.07,0.58RP,0.58,RP,90.58,3.40,3.07
Unison,BE33,3.94Y 5.68/3.07,3.94Y,3.94,Y,23.94,5.68,3.07
Unison,BE32,4.69Y 7.10/3.07,4.69Y,4.69,Y,24.69,7.10,3.07
Blue Earth,R6D,9.37R 7.52/3.07,9.37R,9.37,R,9.37,7.52,3.07
Mount Vision,603,0.19P 7.60/3.07,0.19P,0.19,P,80.19,7.60,3.07
Great American,500.5,1.72B 8.15/3.07,1.72B,1.72,B,61.72,8.15,3.07
Great American,180.5,3.39GY 8.22/3.07,3.39GY,3.39,GY,33.39,8.22,3.07
Schmincke,067D,7.89B 3.00/3.08,7.89B,7.89,B,67.89,3.00,3.08
Schmincke,035D,6.99YR 3.54/3.09,6.99YR,6.99,YR,16.99,3.54,3.09
Girault,501,6.07G 3.57/3.09,6.07G,6.07,G,46.07,3.57,3.09
Blue Earth,R4D,9.87R 5.63/3.09,9.87R,9.87,R,9.87,5.63,3.09
Great American,155.4,2.13YR 7.47/3.09,2.13YR,2.13,YR,12.13,7.47,3.09
Rembrandt,"538,7",5.42R 4.32/3.10,5.42R,5.42,R,5.42,4.32,3.10
Girault,440,3.29R 8.06/3.10,3.29R,3.29,R,3.29,8.06,3.10
Mount Vision,13,1.45Y 9.15/3.10,1.45Y,1.45,Y,21.45,9.15,3.10
Blue Earth,C1C,2.27PB 3.15/3.11,2.27PB,2.27,PB,72.27,3.15,3.11
Girault,158,6.59YR 3.38/3.11,6.59YR,6.59,YR,16.59,3.38,3.11
Sennelier,163,1.00Y 4.46/3.11,1.00Y,1.00,Y,21.00,4.46,3.11
Great American,250.5,1.58PB 6.91/3.11,1.58PB,1.58,PB,71.58,6.91,3.11
Rembrandt,"234,10",9.86YR 8.04/3.11,9.86YR,9.86,YR,19.86,8.04,3.11
Sennelier,74,5.60YR 8.51/3.11,5.60YR,5.60,YR,15.60,8.51,3.11
Mount Vision,850,8.48P 3.14/3.12,8.48P,8.48,P,88.48,3.14,3.12
Blue Earth,B2C,2.12PB 3.15/3.12,2.12PB,2.12,PB,72.12,3.15,3.12
Rembrandt,"620,3",9.55Y 3.71/3.12,9.55Y,9.55,Y,29.55,3.71,3.12
Unison,BE34,5.98Y 5.01/3.12,5.98Y,5.98,Y,25.98,5.01,3.12
Mount Vision,542,0.72PB 5.89/3.12,0.72PB,0.72,PB,70.72,5.89,3.12
Sennelier,294,7.38B 7.96/3.12,7.38B,7.38,B,67.38,7.96,3.12
Great American,940,3.89R 8.63/3.13,3.89R,3.89,R,3.89,8.63,3.13
Blue Earth,T7A,5.16BG 8.64/3.13,5.16BG,5.16,BG,55.16,8.64,3.13
Unison,A35,7.01P 4.25/3.14,7.01P,7.01,P,87.01,4.25,3.14
Great American,195.4,4.47Y 7.14/3.14,4.47Y,4.47,Y,24.47,7.14,3.14
Mount Vision,34,6.76B 8.56/3.14,6.76B,6.76,B,66.76,8.56,3.14
Mount Vision,25,1.80RP 9.31/3.14,1.80RP,1.80,RP,91.80,9.31,3.14
Great American,270.1,5.52P 4.47/3.15,5.52P,5.52,P,85.52,4.47,3.15
Great American,185.2,3.81Y 5.29/3.15,3.81Y,3.81,Y,23.81,5.29,3.15
Sennelier,235,9.64Y 2.86/3.16,9.64Y,9.64,Y,29.64,2.86,3.16
Unison,BE24,4.67R 3.05/3.16,4.67R,4.67,R,4.67,3.05,3.16
Sennelier,449,4.67Y 3.58/3.16,4.67Y,4.67,Y,24.67,3.58,3.16
Schmincke,074D,1.58BG 4.07/3.16,1.58BG,1.58,BG,51.58,4.07,3.16
Blue Earth,E5D,2.62GY 6.47/3.16,2.62GY,2.62,GY,32.62,6.47,3.16
Sennelier,405,4.32R 3.02/3.18,4.32R,4.32,R,4.32,3.02,3.18
Mount Vision,420,6.49Y 4.43/3.18,6.49Y,6.49,Y,26.49,4.43,3.18
Sennelier,131,9.25YR 8.70/3.18,9.25YR,9.25,YR,19.25,8.70,3.18
Great American,110.5,6.79YR 8.83/3.18,6.79YR,6.79,YR,16.79,8.83,3.18
Blue Earth,O2D,7.63R 3.70/3.19,7.63R,7.63,R,7.63,3.70,3.19
Mount Vision,111,9.58YR 5.30/3.19,9.58YR,9.58,YR,19.58,5.30,3.19
Mount Vision,142,3.88PB 7.86/3.19,3.88PB,3.88,PB,73.88,7.86,3.19
Unison,RE13,4.31YR 8.27/3.19,4.31YR,4.31,YR,14.31,8.27,3.19
Unison,BE7,9.48YR 8.37/3.19,9.48YR,9.48,YR,19.48,8.37,3.19
Sennelier,211,5.82GY 2.63/3.20,5.82GY,5.82,GY,35.82,2.63,3.20
Blue Earth,O1A,1.01YR 2.82/3.20,1.01YR,1.01,YR,11.01,2.82,3.20
Schmincke,036D,3.85YR 3.28/3.20,3.85YR,3.85,YR,13.85,3.28,3.20
Unison,Grey9,4.71PB 6.22/3.20,4.71PB,4.71,PB,74.71,6.22,3.20
Sennelier,706,7.59R 8.09/3.20,7.59R,7.59,R,7.59,8.09,3.20
Unison,Light5,5.69YR 8.90/3.20,5.69YR,5.69,YR,15.69,8.90,3.20
Sennelier,62,9.24YR 4.02/3.21,9.24YR,9.24,YR,19.24,4.02,3.21
Rembrandt,"408,7",1.80Y 5.13/3.21,1.80Y,1.80,Y,21.80,5.13,3.21
Great American,870.4,8.96P 5.69/3.21,8.96P,8.96,P,88.96,5.69,3.21
Blue Earth,L5C,8.81Y 6.12/3.21,8.81Y,8.81,Y,28.81,6.12,3.21
Rembrandt,"409,9",7.88YR 7.15/3.21,7.88YR,7.88,YR,17.88,7.15,3.21
Mount Vision,690,4.77YR 3.72/3.22,4.77YR,4.77,YR,14.77,3.72,3.22
Great American,170.1,5.26Y 3.78/3.22,5.26Y,5.26,Y,25.26,3.78,3.22
Sennelier,508,3.77Y 4.07/3.22,3.77Y,3.77,Y,23.77,4.07,3.22
Great American,120.2,2.16R 6.42/3.22,2.16R,2.16,R,2.16,6.42,3.22
Rembrandt,"339,8",0.61YR 7.70/3.22,0.61YR,0.61,YR,10.61,7.70,3.22
Rembrandt,"627,10",3.53G 7.75/3.22,3.53G,3.53,G,43.53,7.75,3.22
Girault,457,2.72YR 2.56/3.23,2.72YR,2.72,YR,12.72,2.56,3.23
Great American,810.1,3.54YR 3.91/3.23,3.54YR,3.54,YR,13.54,3.91,3.23
Blue Earth,T3C,9.98G 5.14/3.23,9.98G,9.98,G,49.98,5.14,3.23
Sennelier,174,1.42GY 7.29/3.23,1.42GY,1.42,GY,31.42,7.29,3.23
Schmincke,035B,6.93YR 3.51/3.24,6.93YR,6.93,YR,16.93,3.51,3.24
Unison,BE21,1.02YR 6.11/3.24,1.02YR,1.02,YR,11.02,6.11,3.24
Schmincke,064O,0.71PB 8.32/3.24,0.71PB,0.71,PB,70.71,8.32,3.24
Sennelier,133,3.67PB 1.72/3.25,3.67PB,3.67,PB,73.67,1.72,3.25
Rembrandt,"627,3",1.67G 3.46/3.25,1.67G,1.67,G,41.67,3.46,3.25
Schmincke,080D,9.23G 4.86/3.25,9.23G,9.23,G,49.23,4.86,3.25
Unison,G3,5.15G 5.38/3.25,5.15G,5.15,G,45.15,5.38,3.25
Great American,130.5,4.87YR 7.20/3.25,4.87YR,4.87,YR,14.87,7.20,3.25
Unison,RE1,9.38R 8.21/3.25,9.38R,9.38,R,9.38,8.21,3.25
Unison,Light4,8.20YR 9.09/3.25,8.20YR,8.20,YR,18.20,9.09,3.25
Girault,351,0.51BG 7.02/3.26,0.51BG,0.51,BG,50.51,7.02,3.26
Mount Vision,834,8.73G 7.50/3.26,8.73G,8.73,G,48.73,7.50,3.26
Mount Vision,812,9.09Y 7.63/3.26,9.09Y,9.09,Y,29.09,7.63,3.26
Sennelier,256,8.07G 8.70/3.26,8.07G,8.07,G,48.07,8.70,3.26
Mount Vision,260,0.75B 2.79/3.27,0.75B,0.75,B,60.75,2.79,3.27
Great American,130.0,2.72YR 2.96/3.27,2.72YR,2.72,YR,12.72,2.96,3.27
Schmincke,024O,5.39R 7.34/3.27,5.39R,5.39,R,5.39,7.34,3.27
Blue Earth,B6B,2.26PB 8.11/3.27,2.26PB,2.26,PB,72.26,8.11,3.27
Girault,406,5.24R 3.74/3.28,5.24R,5.24,R,5.24,3.74,3.28
Unison,A7,2.27Y 9.11/3.29,2.27Y,2.27,Y,22.27,9.11,3.29
Mount Vision,302,2.24R 5.95/3.30,2.24R,2.24,R,2.24,5.95,3.30
Sennelier,457,5.09YR 1.97/3.31,5.09YR,5.09,YR,15.09,1.97,3.31
Sennelier,466,9.77B 2.58/3.31,9.77B,9.77,B,69.77,2.58,3.31
Sennelier,167,7.70GY 2.71/3.31,7.70GY,7.70,GY,37.70,2.71,3.31
Mount Vision,180,2.09YR 4.27/3.31,2.09YR,2.09,YR,12.09,4.27,3.31
Schmincke,083H,4.46GY 6.22/3.31,4.46GY,4.46,GY,34.46,6.22,3.31
Blue Earth,T6B,0.64BG 7.85/3.31,0.64BG,0.64,BG,50.64,7.85,3.31
Sennelier,161,1.70Y 3.62/3.32,1.70Y,1.70,Y,21.70,3.62,3.32
Schmincke,035H,7.05YR 4.47/3.32,7.05YR,7.05,YR,17.05,4.47,3.32
Girault,407,3.95R 4.53/3.32,3.95R,3.95,R,3.95,4.53,3.32
Girault,359,2.00PB 7.27/3.32,2.00PB,2.00,PB,72.00,7.27,3.32
Great American,430.5,5.01PB 7.31/3.32,5.01PB,5.01,PB,75.01,7.31,3.32
Blue Earth,V6C,5.15RP 7.41/3.32,5.15RP,5.15,RP,95.15,7.41,3.32
Sennelier,406,4.93R 2.88/3.33,4.93R,4.93,R,4.93,2.88,3.33
Rembrandt,"626,3",6.56GY 3.44/3.33,6.56GY,6.56,GY,36.56,3.44,3.33
Sennelier,213,4.42GY 4.03/3.33,4.42GY,4.42,GY,34.42,4.03,3.33
Girault,164,4.34YR 6.30/3.33,4.34YR,4.34,YR,14.34,6.30,3.33
Great American,185.0,5.34Y 3.69/3.34,5.34Y,5.34,Y,25.34,3.69,3.34
Schmincke,030D,4.22Y 4.36/3.34,4.22Y,4.22,Y,24.22,4.36,3.34
Schmincke,085O,3.07GY 7.89/3.34,3.07GY,3.07,GY,33.07,7.89,3.34
Mount Vision,844,0.58YR 8.67/3.34,0.58YR,0.58,YR,10.58,8.67,3.34
Sennelier,45,0.93YR 1.67/3.35,0.93YR,0.93,YR,10.93,1.67,3.35
Girault,46,9.36R 2.49/3.35,9.36R,9.36,R,9.36,2.49,3.35
Rembrandt,"347,3",3.39R 2.94/3.36,3.39R,3.39,R,3.39,2.94,3.36
Schmincke,073B,2.96G 4.44/3.36,2.96G,2.96,G,42.96,4.44,3.36
Unison,A34,3.92P 5.12/3.36,3.92P,3.92,P,83.92,5.12,3.36
Schmincke,074M,2.24BG 5.80/3.36,2.24BG,2.24,BG,52.24,5.80,3.36
Schmincke,086M,5.34GY 8.03/3.36,5.34GY,5.34,GY,35.34,8.03,3.36
Blue Earth,E1A,5.61GY 3.44/3.37,5.61GY,5.61,GY,35.61,3.44,3.37
Blue Earth,C3C,4.35B 4.98/3.37,4.35B,4.35,B,64.35,4.98,3.37
Great American,115.4,4.17RP 6.40/3.37,4.17RP,4.17,RP,94.17,6.40,3.37
Girault,218,4.69YR 3.14/3.38,4.69YR,4.69,YR,14.69,3.14,3.38
Girault,212,9.03Y 4.27/3.38,9.03Y,9.03,Y,29.03,4.27,3.38
Great American,185.1,4.02Y 4.35/3.38,4.02Y,4.02,Y,24.02,4.35,3.38
Schmincke,086B,5.15GY 4.75/3.38,5.15GY,5.15,GY,35.15,4.75,3.38
Unison,NE9,0.58Y 5.06/3.38,0.58Y,0.58,Y,20.58,5.06,3.38
Great American,410.3,3.02PB 5.71/3.38,3.02PB,3.02,PB,73.02,5.71,3.38
Mount Vision,825,8.12GY 8.91/3.38,8.12GY,8.12,GY,38.12,8.91,3.38
Blue Earth,E1B,0.14G 3.40/3.39,0.14G,0.14,G,40.14,3.40,3.39
Schmincke,083B,5.06GY 4.85/3.39,5.06GY,5.06,GY,35.06,4.85,3.39
Mount Vision,433,0.18PB 8.42/3.39,0.18PB,0.18,PB,70.18,8.42,3.39
Schmincke,021O,1.54YR 8.48/3.39,1.54YR,1.54,YR,11.54,8.48,3.39
Unison,Light6,9.69R 8.70/3.39,9.69R,9.69,R,9.69,8.70,3.39
Great American,240.1,1.05RP 2.83/3.40,1.05RP,1.05,RP,91.05,2.83,3.40
Great American,150.2,5.44G 5.83/3.40,5.44G,5.44,G,45.44,5.83,3.40
Great American,130.3,5.31YR 6.47/3.40,5.31YR,5.31,YR,15.31,6.47,3.40
Blue Earth,O1B,1.30YR 2.74/3.41,1.30YR,1.30,YR,11.30,2.74,3.41
Rembrandt,"640,3",7.41BG 3.33/3.41,7.41BG,7.41,BG,57.41,3.33,3.41
Unison,Dark10,1.63G 3.35/3.41,1.63G,1.63,G,41.63,3.35,3.41
Great American,360.6,7.91R 8.51/3.41,7.91R,7.91,R,7.91,8.51,3.41
Mount Vision,1,9.84Y 9.68/3.41,9.84Y,9.84,Y,29.84,9.68,3.41
Sennelier,509,4.11Y 4.23/3.42,4.11Y,4.11,Y,24.11,4.23,3.42
Mount Vision,861,9.06R 5.22/3.42,9.06R,9.06,R,9.06,5.22,3.42
Blue Earth,R5D,9.56R 6.78/3.42,9.56R,9.56,R,9.56,6.78,3.42
Blue Earth,V3D,4.18RP 4.66/3.43,4.18RP,4.18,RP,94.18,4.66,3.43
Schmincke,035O,7.98YR 6.83/3.43,7.98YR,7.98,YR,17.98,6.83,3.43
Mount Vision,314,4.11YR 8.12/3.43,4.11YR,4.11,YR,14.11,8.12,3.43
Unison,A4,6.32P 8.15/3.43,6.32P,6.32,P,86.32,8.15,3.43
Great American,380.4,2.76GY 7.34/3.44,2.76GY,2.76,GY,32.76,7.34,3.44
Mount Vision,780,2.84P 2.39/3.45,2.84P,2.84,P,82.84,2.39,3.45
Great American,245.5,2.33PB 7.47/3.45,2.33PB,2.33,PB,72.33,7.47,3.45
Schmincke,065O,4.78B 8.40/3.45,4.78B,4.78,B,64.78,8.40,3.45
Schmincke,650O,4.68B 8.43/3.45,4.68B,4.68,B,64.68,8.43,3.45
Schmincke,085B,1.52GY 5.06/3.46,1.52GY,1.52,GY,31.52,5.06,3.46
Unison,A57,8.34P 5.20/3.46,8.34P,8.34,P,88.34,5.20,3.46
Unison,Dark12,1.07GY 3.76/3.47,1.07GY,1.07,GY,31.07,3.76,3.47
