Brand Name,Identifier,X,Y,Z,x,y,L*,a*,b*,C*,h
Rembrandt,"545,3",16.5370,9.2084,22.9824,0.3394,0.1890,36.3824,50.4427,-25.5410,56.5404,5.8145
Rembrandt,"545,5",27.7137,15.0671,31.1165,0.3750,0.2039,45.7259,62.0467,-21.7446,65.7467,5.9461
Rembrandt,"545,7",36.6272,22.9439,42.7407,0.3580,0.2243,55.0145,53.9714,-20.0340,57.5697,5.9278
Rembrandt,"545,8",58.9088,49.8035,65.0988,0.3389,0.2865,75.9485,25.5388,-5.3920,26.1018,6.0751
Rembrandt,"548,2",6.9177,6.5643,10.2157,0.2919,0.2770,30.7937,4.8907,-7.7393,9.1552,5.2760
Rembrandt,"548,3",10.3630,9.4989,16.1055,0.2881,0.2641,36.9277,8.2442,-11.6519,14.2735,5.3282
Rembrandt,"548,5",20.6730,16.3445,37.9562,0.2757,0.2180,47.4233,24.1909,-27.5943,36.6967,5.4322
Rembrandt,"548,7",35.0398,31.3080,54.6382,0.2896,0.2588,62.7668,15.2778,-18.8216,24.2418,5.3942
Rembrandt,"548,8",43.6798,41.7886,60.9434,0.2983,0.2854,70.7249,8.0222,-10.8334,13.4803,5.3498
Rembrandt,"570,3",8.6416,9.9497,25.4102,0.1964,0.2261,37.7520,-9.1970,-27.1235,28.6403,4.3855
Rembrandt,"570,5",12.1133,13.1333,42.7487,0.1781,0.1932,42.9634,-5.1496,-40.8206,41.1441,4.5869
Rembrandt,"570,7",31.1272,35.0418,66.5353,0.2346,0.2641,65.7812,-11.4455,-24.1189,26.6968,4.2693
Rembrandt,"570,9",50.3740,55.1978,74.0888,0.2804,0.3072,79.1551,-9.7277,-7.0864,12.0352,3.7712
Rembrandt,"618,3",19.6197,23.2825,14.3003,0.3430,0.4070,55.3621,-15.1701,24.1297,28.5022,2.1320
Rembrandt,"618,5",29.7107,44.3990,20.0037,0.3157,0.4718,72.4944,-45.6355,41.9597,61.9937,2.3981
Rembrandt,"618,8",42.3538,52.9060,36.6588,0.3211,0.4011,77.8195,-26.4614,26.3913,37.3726,2.3575
Rembrandt,"618,9",48.2681,56.7055,41.0983,0.3304,0.3882,80.0137,-19.0882,24.9169,31.3880,2.2245
Rembrandt,"619,3",10.2142,13.8194,13.1510,0.2747,0.3716,43.9729,-23.2599,7.2172,24.3539,2.8407
Rembrandt,"619,5",13.4099,21.4544,18.8230,0.2498,0.3996,53.4433,-41.7363,11.3335,43.2478,2.8764
Rembrandt,"619,7",18.6511,27.9672,23.9406,0.2643,0.3964,59.8591,-39.4473,13.3477,41.6444,2.8153
Rembrandt,"619,9",52.3360,59.6294,58.8236,0.3064,0.3491,81.6363,-15.2904,9.8606,18.1942,2.5688
Rembrandt,"620,2",5.3590,5.7575,4.0029,0.3544,0.3808,28.7921,-3.3351,12.5271,12.9635,1.8310
Rembrandt,"620,3",9.0943,9.9526,5.2910,0.3737,0.4089,37.7573,-5.4011,21.6786,22.3413,1.8150
Rembrandt,"620,5",13.5383,15.3137,5.1430,0.3982,0.4505,46.0609,-9.0964,36.6633,37.7749,1.8140
Rembrandt,"620,7",26.1818,29.2598,9.9025,0.4007,0.4478,61.0102,-9.9938,45.2712,46.3612,1.7881
Rembrandt,"620,8",34.0625,39.5271,20.3306,0.3627,0.4209,69.1314,-15.4854,35.5621,38.7873,1.9815
Rembrandt,"620,10",62.1959,65.3581,59.5111,0.3325,0.3494,84.6679,-4.3396,14.4725,15.1091,1.8621
Rembrandt,"626,3",6.8991,8.4790,5.3923,0.3322,0.4082,34.9613,-13.2585,16.4077,21.0950,2.2504
Rembrandt,"626,5",16.8479,21.9955,7.4806,0.3637,0.4748,54.0222,-23.8704,41.0333,47.4713,2.0977
Rembrandt,"626,7",25.1192,31.5524,9.2885,0.3808,0.4784,62.9712,-22.8622,50.4996,55.4337,1.9959
Rembrandt,"626,9",43.6992,52.2791,25.5847,0.3595,0.4301,77.4474,-20.8976,41.0433,46.0571,2.0417
Rembrandt,"626,10",52.2976,58.4405,40.3032,0.3462,0.3869,80.9831,-12.5739,27.5010,30.2391,1.9996
Rembrandt,"627,2",4.6057,5.4829,5.1393,0.3025,0.3601,28.0686,-9.5592,5.6592,11.1088,2.6071
Rembrandt,"627,3",6.7113,8.5652,7.3575,0.2965,0.3784,35.1333,-15.8901,8.9057,18.2156,2.6308
Rembrandt,"627,5",8.6822,12.4107,10.8708,0.2716,0.3883,41.8615,-26.5625,9.4922,28.2076,2.7984
Rembrandt,"627,7",10.4943,15.5386,13.1909,0.2676,0.3962,46.3633,-31.4318,11.2415,33.3816,2.7981
Rembrandt,"627,8",17.3504,25.5997,23.4188,0.2614,0.3857,57.6551,-36.7932,10.4074,38.2368,2.8659
Rembrandt,"627,9",34.7159,44.2031,40.2484,0.2913,0.3709,72.3640,-27.1863,12.7040,30.0081,2.7045
Rembrandt,"627,10",45.5258,53.3394,53.2308,0.2993,0.3507,78.0749,-18.3539,8.9110,20.4027,2.6896
Rembrandt,"633,3",26.0977,30.8459,11.9303,0.3789,0.4479,62.3774,-16.2318,42.0221,45.0481,1.9394
Rembrandt,"633,5",47.6042,56.5996,14.3224,0.4016,0.4775,79.9538,-20.6486,66.4783,69.6113,1.8720
Rembrandt,"633,7",54.1207,62.3075,24.9896,0.3827,0.4406,83.0767,-16.9401,51.6872,54.3924,1.8875
Rembrandt,"633,9",60.7868,67.4654,41.5621,0.3580,0.3973,85.7384,-12.2228,34.2601,36.3752,1.9135
Rembrandt,"640,2",3.8005,4.2872,5.7823,0.2740,0.3091,24.5991,-5.7971,-3.1413,6.5935,3.6382
Rembrandt,"640,3",6.2370,7.8941,11.4569,0.2437,0.3085,33.7614,-14.9129,-6.0674,16.1000,3.5280
Rembrandt,"640,5",7.5878,11.2411,18.8512,0.2014,0.2983,39.9836,-28.2551,-11.9268,30.6692,3.5410
Rembrandt,"640,7",14.7190,21.0358,32.8787,0.2145,0.3065,52.9887,-31.6536,-11.5979,33.7114,3.4928
Rembrandt,"640,9",26.6663,35.2643,48.2830,0.2420,0.3200,65.9539,-29.3291,-7.0827,30.1722,3.3785
Rembrandt,"675,3",11.4741,16.6857,12.6744,0.2810,0.4086,47.8615,-30.7211,15.0980,34.2306,2.6848
Rembrandt,"675,5",16.7301,30.0923,18.7944,0.2550,0.4586,61.7338,-57.7590,25.6825,63.2115,2.7232
Rembrandt,"675,8",40.3198,53.0151,45.7601,0.2899,0.3811,77.8839,-32.8887,16.1171,36.6255,2.6859
